Original_Filename,Make,Model,Latitude,Longitude,Location_Category,Campus_Area,Segregated_Path
470.jpg,OnePlus,OnePlus Nord CE 2,N/A,N/A,No_GPS,N/A,OnePlus\OnePlus Nord CE 2\No_GPS\470.jpg
475.jpg,vivo,vivo V23 5G,N/A,N/A,No_GPS,N/A,vivo\vivo V23 5G\No_GPS\475.jpg
478.jpg,realme,realme 7,N/A,N/A,No_GPS,N/A,realme\realme 7\No_GPS\478.jpg
479.jpg,samsung,Galaxy S25,N/A,N/A,No_GPS,N/A,samsung\Galaxy S25\No_GPS\479.jpg
480.jpg,Xiaomi,Redmi Note 13 Pro 5G,22.7405489,88.4574997,Inside_Campus,Campus_General,Xiaomi\Redmi Note 13 Pro 5G\Inside_Campus\Campus_General\480.jpg
484.jpg,realme,realme 13 Pro 5G,N/A,N/A,No_GPS,N/A,realme\realme 13 Pro 5G\No_GPS\484.jpg
490.jpg,Nothing,Nothing Phone 4b,N/A,N/A,No_GPS,N/A,Nothing\Nothing Phone 4b\No_GPS\490.jpg
491.jpg,Google,Pixel 7,N/A,N/A,No_GPS,N/A,Google\Pixel 7\No_GPS\491.jpg
492.jpg,Xiaomi,M2007J17I,N/A,N/A,No_GPS,N/A,Xiaomi\M2007J17I\No_GPS\492.jpg
493.jpg,motorola,moto g85 5G,N/A,N/A,No_GPS,N/A,motorola\moto g85 5G\No_GPS\493.jpg
494.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\494.jpeg
496.jpg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\496.jpg
506.jpg,OPPO,OPPO F19 Pro,N/A,N/A,No_GPS,N/A,OPPO\OPPO F19 Pro\No_GPS\506.jpg
507.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\507.jpeg
510.jpg,samsung,SM-E236B  Captured by - GPS Map Camera,22.738485833333336,88.4576488888889,Inside_Campus,Campus_General,samsung\SM-E236B  Captured by - GPS Map Camera\Inside_Campus\Campus_General\510.jpg
515.jpg,OnePlus,OnePlus Nord 3 5G,N/A,N/A,No_GPS,N/A,OnePlus\OnePlus Nord 3 5G\No_GPS\515.jpg
516.jpg,samsung,SM-F127G,N/A,N/A,No_GPS,N/A,samsung\SM-F127G\No_GPS\516.jpg
518.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\518.jpeg
520.jpg,realme,realme 15T,N/A,N/A,No_GPS,N/A,realme\realme 15T\No_GPS\520.jpg
521.jpg,realme,narzo 50,N/A,N/A,No_GPS,N/A,realme\narzo 50\No_GPS\521.jpg
522.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\522.jpeg
523.jpg,vivo,vivo X200T,N/A,N/A,No_GPS,N/A,vivo\vivo X200T\No_GPS\523.jpg
525.jpg,Xiaomi,23076RN4BI,N/A,N/A,No_GPS,N/A,Xiaomi\23076RN4BI\No_GPS\525.jpg
528.jpg,vivo,vivo X200,N/A,N/A,No_GPS,N/A,vivo\vivo X200\No_GPS\528.jpg
530.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\530.jpeg
531.jpeg,iQOO,iQOO Z7 Pro 5G,N/A,N/A,No_GPS,N/A,iQOO\iQOO Z7 Pro 5G\No_GPS\531.jpeg
534.jpg,samsung,Galaxy A15 5G,N/A,N/A,No_GPS,N/A,samsung\Galaxy A15 5G\No_GPS\534.jpg
538.jpg,Xiaomi,Redmi Note 13 Pro 5G,N/A,N/A,No_GPS,N/A,Xiaomi\Redmi Note 13 Pro 5G\No_GPS\538.jpg
539.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\539.jpeg
540.HEIC,Apple,iPhone 13 Pro,22.462374999999998,88.33244444444443,Outside_Campus,N/A,Apple\iPhone 13 Pro\Outside_Campus\540.HEIC
546.jpg,realme,realme GT 6T,N/A,N/A,No_GPS,N/A,realme\realme GT 6T\No_GPS\546.jpg
550.jpg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\550.jpg
551.jpg,OPPO,OPPO Find X9,N/A,N/A,No_GPS,N/A,OPPO\OPPO Find X9\No_GPS\551.jpg
554.png,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\554.png
555.jpg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\555.jpg
557.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\557.jpeg
557.jpg,OPPO,OPPO A59 5G,N/A,N/A,No_GPS,N/A,OPPO\OPPO A59 5G\No_GPS\557.jpg
558.jpg,Xiaomi,23076RN4BI  Captured by - GPS Map Camera,N/A,N/A,No_GPS,N/A,Xiaomi\23076RN4BI  Captured by - GPS Map Camera\No_GPS\558.jpg
559.jpg,vivo,vivo V70,N/A,N/A,No_GPS,N/A,vivo\vivo V70\No_GPS\559.jpg
562.jpg,Xiaomi,Redmi Note 13 Pro 5G,N/A,N/A,No_GPS,N/A,Xiaomi\Redmi Note 13 Pro 5G\No_GPS\562.jpg
563.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\563.jpeg
565.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\565.jpeg
567.jpg,Nothing,Nothing Phone 2a Plus,N/A,N/A,No_GPS,N/A,Nothing\Nothing Phone 2a Plus\No_GPS\567.jpg
568.jpeg,Unknown_Make,Unknown_Model,N/A,N/A,Unknown,N/A,Unknown_Unclassified\568.jpeg
569.jpg,realme,realme 10 Pro 5G,N/A,N/A,No_GPS,N/A,realme\realme 10 Pro 5G\No_GPS\569.jpg
IMG20240902150008.jpg,OPPO,OPPO F25 Pro 5G,N/A,N/A,No_GPS,N/A,OPPO\OPPO F25 Pro 5G\No_GPS\IMG20240902150008.jpg
IMG20260803224728.jpg,realme,realme 7,N/A,N/A,No_GPS,N/A,realme\realme 7\No_GPS\IMG20260803224728.jpg
